Pricing effective 8/2/2026. Last data refresh 8/4/2026 3:03 AM Pacific,,,,,,,,,,,,,,
Item Number,Description,MSRP,Today's Non-Dealer Price,Today's Non-Dealer Ship Cost,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Price Notes
C1285,"Insert Finger Pull Bit, 1/2"" Shank, 1-3/8"" Dia.",$30.95,$19.47,See Chart,$19.47,See Chart,,Unavailable,TRUE,Grizzly,TW,690550912856,Parcel,
C1302,"Classical Bit w/ Bearing Guide, 1/2"" Shank",$23.95,$17.58,See Chart,$17.58,See Chart,,Unavailable,TRUE,Grizzly,TW,690550913020,Parcel,
C1306,"1/2"" Pattern Cutting Straight Bit, 1/4"" Shank",$8.50,$8.50,See Chart,$7.65,See Chart,,Available,FALSE,Grizzly,TW,690550913068,Parcel,
C1306Z,"1/2"" Pattern Cutting Straight Bit, 1/4"" Shank",$12.50,$12.50,See Chart,$11.25,See Chart,,Available,FALSE,Grizzly,TW,690550813061,Parcel,
C1309,"Pattern Cutting Bit w/ Upper Guide Bearing, 1/2"" Shank, 3/4"" Dia.",$13.25,$13.25,See Chart,$11.93,See Chart,,Available,FALSE,Grizzly,TW,690550913099,Parcel,
C1310Z,"Pattern Cutting Bit w/ Upper Guide Bearing, 1-1/8"" x 1/2"" Shank",$23.95,$23.95,See Chart,$21.55,See Chart,,Available,FALSE,Grizzly,TW,690550813108,Parcel,
C1314,"Classical Plunging Bit, 1/4"" Shank, 1/2"" Dia.",$13.95,$6.26,See Chart,$6.26,See Chart,,Available,TRUE,Grizzly,TW,690550913143,Parcel,
C1316,"Classical Plunging Bit, 1/4"" Shank, 1-3/16"" Dia.",$20.95,$9.74,See Chart,$9.74,See Chart,,Available,TRUE,Grizzly,TW,690550913167,Parcel,
C1329,"Glue Joint Bit, 1/2"" Shank",$33.95,$33.95,See Chart,$30.55,See Chart,,Available,FALSE,Grizzly,TW,690550913297,Parcel,
C1331,"Corner Lock Miter Bit, 1/2"" Shank, 3"" Cutting Diameter",$43.95,$43.95,See Chart,$39.55,See Chart,,Available,FALSE,Grizzly,TW,690550913310,Parcel,
C1332,"Door Lip Bit, 1/2"" Shank, 1-5/8"" Cutter Dia.",$39.95,$18.44,See Chart,$18.44,See Chart,,Available,TRUE,Grizzly,TW,690550913327,Parcel,
C1333,"Door Lip Bit, 1/2"" Shank, 1-5/16"" Cutter Dia.",$39.95,$22.56,See Chart,$22.56,See Chart,,Unavailable,TRUE,Grizzly,TW,690550913334,Parcel,
C1342,"Multiple Beading Bit w/ Two Guide Bearings, 1/4"" Shank",$33.95,$24.08,See Chart,$24.08,See Chart,,Unavailable,TRUE,Grizzly,TW,690550913426,Parcel,
C1345,"Shear Cut Straight Bit, 1/4"" Shank, 1/4"" Dia.",$6.50,$6.50,See Chart,$5.85,See Chart,,Available,FALSE,Grizzly,TW,690550913457,Parcel,
C1349,"Shear Cut Straight Bit, 1/2"" Shank, 1/2"" Dia.",$7.75,$7.75,See Chart,$6.97,See Chart,,Available,FALSE,Grizzly,TW,690550913495,Parcel,
C1352,"Shear Cut Straight Bit, 1/2"" Shank, 3/4"" Dia.",$10.50,$10.50,See Chart,$9.45,See Chart,,Available,FALSE,Grizzly,TW,690550913525,Parcel,
C1353,"Shear Cut Flush Trim Bit, 1/4"" Shank",$11.25,$11.25,See Chart,$10.13,See Chart,,Available,FALSE,Grizzly,TW,690550913532,Parcel,
C1353Z,"Shear Cut Flush Trim Bits, 1/4"" Shank, 1/2"" Dia.",$14.95,$14.95,See Chart,$13.46,See Chart,,Available,FALSE,Grizzly,TW,690550813535,Parcel,
C1354,"Shear Cut Flush Trim Bit, 1/2"" Shank",$11.25,$11.25,See Chart,$10.13,See Chart,,Available,FALSE,Grizzly,TW,690550913549,Parcel,
C1358Z,"Keyhole Bits, Single Flute, 1/4"" Shank, 1/2"" Dia.",$11.50,$11.50,See Chart,$10.35,See Chart,,Unavailable,FALSE,Grizzly,TW,690550813580,Parcel,
C1359Z,"Keyhole Bits, Single Flute, 1/4"" Shank, 3/8"" Dia.",$12.25,$12.25,See Chart,$11.03,See Chart,,Available,FALSE,Grizzly,TW,690550813597,Parcel,
C1361,"Flute Bit w/ Upper & Lower Guide Bearing, 1/4"" Shank",$22.95,$22.95,See Chart,$20.66,See Chart,,Available,FALSE,Grizzly,TW,690550913617,Parcel,
C1367,"Finger Joint Bit w/ Guide Bearing, 1/2"" Shank",$64.95,$64.95,See Chart,$58.45,See Chart,,Available,FALSE,Grizzly,TW,690550913679,Parcel,
C1376,"Edge Beading Bit (Style #3), 1/2"" Shank, 1"" Dia.",$35.95,$17.44,See Chart,$17.44,See Chart,,Available,TRUE,Grizzly,TW,690550913761,Parcel,
C1379,"Bead Bit For Small Boat Planking, 1/4"" Shank",$24.95,$16.87,See Chart,$16.87,See Chart,,Available,TRUE,Grizzly,TW,690550913792,Parcel,
