Shopify SKU,Supplier SKU,UPC,Model Number,Product Type,Manufacturer Weblink,Cost,Shipping Fee,List Price,Lowest Price,Lowest Price Link,MAP Price,MSRP,Notes,Shipping Length,Shipping Width,Shipping Height,Shipping Weight,Shipping Class,Shipping NMFC,Shipping Sub,Shipping Additional Info,Shipping Method
150302,150302,,HC2320,Firewood Conveyors,https://mechmaxx.com/products/heavy-duty-firewood-conveyor-9hp-270cc-gasoline-powered-max-180-lift-height-276-length-24-width-hc2320,4299,,5699,5699,,5699,5699,,90,46,38,1883,70,,,,
150243,150243,,KT34,Log Splitters,https://mechmaxx.com/products/34-ton-kinetic-log-splitter-7-hp-ducar-gasoline-engine-28-log-diameter-capacity-3-sec-cycle-time-kt34,1679,,2299,2299,,2299,2299,,69,30,28,628,70,,,,
150244,150244,,HLS20,Log Splitters,https://mechmaxx.com/products/honda-gx390-engine-firewood-log-splitter-processor-conveyor-20ton-splitting-force-24-x-15-log-capacity-18-stihl-chainsaw-hls20,5299,,6999,6999,,6999,6999,,90,38,45,1521,70,130325,,,
150245,150245,,HLS20,Log Splitters,https://mechmaxx.com/products/firewood-log-splitter-processor-conveyor-20ton-splitting-force-24-x-15-log-capacity-18-stihl-chainsaw-hls20,4599,,5999,5999,,5999,5999,,90,38,45,1521,70,,,,
203013,203013,,EDC210C,Desiccator Cabinets,https://mechmaxx.com/products/1-10-rh-electronic-dry-cabinet-210l-esd-desiccator-cabinet-ultra-low-humidity-storage-edc210c?_pos=1&_sid=a3da9f591&_ss=r,1199,,1599,1599,,1599,1599,,28,31,33,146,,,,,
204002,204002,,HPW40H,Pressure Washers,https://mechmaxx.com/products/4000-psi-4-gpm-honda-e-start-engine-hot-water-pressure-washer-with-hose-reel?_pos=1&_sid=c94914d74&_ss=r,3199,,4199,4199,,4199,4199,,44,26,50,507,85,114000,,,
204003,204003,,HPW40HT,Pressure Washers,https://mechmaxx.com/products/4000-psi-4-gpm-honda-e-start-engine-hot-water-pressure-washer-skid-mounted-with-175-gal-tank,3899,,5199,5199,,5199,5199,,63,42,50,723,125,114000,,,
204004,204004,,HPW40HBT,Pressure Washers,https://mechmaxx.com/products/4000-psi-4-gpm-honda-e-start-engine-hot-water-pressure-washer-skid-mounted-with-245-gal-tank,4199,,5699,5699,,5699,5699,,85,42,50,749,125,114000,,,
204006,204006,,HPW40D,Pressure Washers,https://mechmaxx.com/products/4000-psi-4-gpm-15-hp-e-start-gas-engine-hot-water-pressure-washer-with-hose-reel?_pos=1&_sid=c5c5e4f5e&_ss=r,2599,,3399,3399,,3399,3399,,44,26,50,507,85,114000,,,
204007,204007,,HPW40DT,Pressure Washers,https://mechmaxx.com/products/4000-psi-4-gpm-15-hp-e-start-gas-engine-hot-water-pressure-washer-skid-mounted-with-175-gal-tank?_pos=1&_sid=8eb73d4cb&_ss=r,3299,,4399,4399,,4399,4399,,63,42,50,728,100,114000,,,
204008,204008,,HPW40DBT,Pressure Washers,https://mechmaxx.com/products/4000-psi-4-gpm-15-hp-e-start-gas-engine-hot-water-pressure-washer-skid-mounted-with-245-gal-tank?_pos=1&_sid=4ddf8e68f&_ss=r,3599,,4899,4899,,4899,4899,,85,42,50,750,125,114000,,,
204010,204010,,HPW40K,Pressure Washers,https://mechmaxx.com/products/4000-psi-4-gpm-kohler-e-start-engine-hot-water-pressure-washer-with-hose-reel-hpw40k?_pos=1&_sid=2ac814d07&_ss=r,2899,,3799,3799,,3799,3799,,44,26,50,507,85,114000,,,
204011,204011,,HPW40KT,Pressure Washers,https://mechmaxx.com/products/4000-psi-4-gpm-kohler-e-start-engine-hot-water-pressure-washer-skid-mounted-with-175-gal-tank-hpw40kt?_pos=1&_sid=fdb11d2c9&_ss=r,3599,,4799,4799,,4799,4799,,63,42,50,728,100,114000,,,
204012,204012,,HPW40KBT,Pressure Washers,https://mechmaxx.com/products/4000-psi-4-gpm-kohler-e-start-engine-hot-water-pressure-washer-skid-mounted-with-245-gal-tank-hpw40kbt?_pos=1&_sid=4634d7d6d&_ss=r,3899,,5299,5299,,5299,5299,,85,42,50,750,125,133300,,,
