title,url,score,reason
"Simpson MB1518 Brute Series Pressure Washer 1500 PSI 1.8 GPM Hot Water Electric New",https://factorypure.com/products/simpson-mb1518-brute-series-pressure-washer-1500-psi-1-8-gpm-hot-water-electric-new,GOOD,good quality
"Dewalt DXPW1500E Electric Pressure Washer 1500 PSI 2 GPM New",https://factorypure.com/products/dewalt-dxpw1500e-electric-pressure-washer-1500-psi-2-gpm-new,GOOD,good quality
"Dewalt DXPW2000E Electric Pressure Washer 2000 PSI @ 3.0 GPM",https://factorypure.com/products/dewalt-dxpw2000e-electric-pressure-washer-2000-psi-3-0-gpm,OK,moderate sharpness
"Dewalt DXPW2500E Electric Pressure Washer 2500 PSI @ 3.5 GPM",https://factorypure.com/products/dewalt-dxpw2500e-electric-pressure-washer-2500-psi-3-5-gpm,GOOD,good quality
"Dewalt DXPW3000E Electric Pressure Washer 3000 PSI @ 4.0 GPM",https://factorypure.com/products/dewalt-dxpw3000e-electric-pressure-washer-3000-psi-4-gpm,OK,moderate sharpness
"Dewalt DXPW60603 Gas Pressure Washer 3200 PSI @ 2.8 GPM Direct Drive",https://factorypure.com/products/dewalt-dxpw60603-gas-pressure-washer-3200-psi-2-8-gpm-direct-drive,GOOD,good quality
"Dewalt DXPW60604 Gas Pressure Washer 3800 PSI @ 3.5 GPM Direct Drive",https://factorypure.com/products/dewalt-dxpw60604-gas-pressure-washer-3800-psi-3-5-gpm-direct-drive,GOOD,good quality
"Dewalt DXPW4440 Pressure Washer 4400 PSI @ 4.0 GPM Direct Drive",https://factorypure.com/products/dewalt-dxpw4440-pressure-washer-4400-psi-4-gpm-direct-drive,OK,moderate sharpness
"Dewalt DXPW60605 Gas Pressure Washer 4200 PSI @ 4.0 GPM Direct Drive",https://factorypure.com/products/dewalt-dxpw60605-gas-pressure-washer-4200-psi-4-gpm-direct-drive,GOOD,good quality
"Dewalt DH4240B Pressure Washer 4200 PSI @ 4.0 GPM Belt Drive Model",https://factorypure.com/products/dewalt-dh4240b-pressure-washer-4200-psi-4-gpm-belt-drive-model,OK,some whitespace
"Dewalt DXPW60606 Gas Pressure Washer 4200 PSI @ 4.0 GPM Belt Drive",https://factorypure.com/products/dewalt-dxpw60606-gas-pressure-washer-4200-psi-4-gpm-belt-drive,GOOD,good quality
"Friedrich D50BP 50 Pint Dehumidifier w/ Built-In Drain Pump Refurbished",https://factorypure.com/products/friedrich-d50bp-50-pint-dehumidifier-w-built-in-drain-pump-refurbished,BAD,low sharpness; weak edges
"Friedrich D70BP 70 Pint Dehumidifier w/ Built-In Drain Pump Refurbished",https://factorypure.com/products/friedrich-d70bp-70-pint-dehumidifier-w-built-in-drain-pump-refurbished,BAD,low sharpness; weak edges
"Dewalt DXPW3835 Pressure Washer 3800 PSI Honda 3.5 GPM Manufacturer RFB",https://factorypure.com/products/dewalt-dxpw3835-pressure-washer-3800-psi-3-5-gpm-manufacturer-rfb,OK,moderate sharpness
"Marey ECO110 3.0 GPM Electric Tankless Water Heater Open Box",https://factorypure.com/products/marey-eco110-tankless-water-heater-open-box,OK,moderate sharpness; excessive whitespace
"Marey PP220 2.0 GPM  Electric Tankless Water Heater PPXE5 Open Box",https://factorypure.com/products/marey-pp220-tankless-water-heater-open-box,OK,moderate sharpness; excessive whitespace
"Marey GA16NGETL 4.3 GPM Tankless Water Heater Open Box",https://factorypure.com/products/marey-ga16ngetl-tankless-water-heater-open-box,BAD,low sharpness; excessive whitespace; weak edges
