,Pricing effective 8/2/2026. Last data refresh 8/3/2026 3:03 AM Pacific,,,,,,,,,,,,,,
,Item Number,Description,MSRP,Today's Non-Dealer Price,Today's Non-Dealer Ship Cost,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Price Notes
,C1202,"Ogee Plunge Bit, 1/2"" Shank, 1-5/16"" Dia.",$20.95,,See Chart,$9.46,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1210,"90 V-Groove Bit, 1/2"" Shank, 1"" Cutter Dia.",$16.95,,See Chart,$12.18,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1214,"Fingernail Bit (Half Radius), 1/4"" Shank, 3/8""L",$13.95,,See Chart,$6.14,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1219,"Fingernail Bit (Half Radius), 1/2"" Shank, 1""L",$16.95,,See Chart,$12.16,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1223,"Bevel Trimming Bit, 1/4"" Shank",$11.95,,See Chart,$7.78,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1225,"Laminate Flush Trim Bit w/ 2 Flutes, 1/4"" Shank",$16.95,,See Chart,$11.27,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1229,"1/8"" R. 1/4"" Shank Core Box Bit",$4.95,,See Chart,$4.95,See Chart,,,FALSE,Grizzly,,,Parcel,Price Change
,C1240,"Tongue and Groove Set - Wedge, 1/2"" Shank",$75.95,,See Chart,$68.36,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1242,"Tongue and Groove V-Match Set, 1/2"" Shank",$129.95,,See Chart,$117.07,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1251,"Combination Panel Bit (Double Flute), 1/2"" Shank, 1/2"" Cutting Dia.",$7.75,,See Chart,$7.75,See Chart,,,FALSE,Grizzly,,,Parcel,Price Change
,C1258,"Bottom Cleaning Bit, 1/2"" Shank, 3/4"" Dia.",$12.95,,See Chart,$7.06,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1261,"Bottom Cleaning Bit, 1/2"" Shank, 1-1/2"" Dia.",$17.95,,See Chart,$16.16,See Chart,,,FALSE,Grizzly,,,Parcel,
,C1285,"Insert Finger Pull Bit, 1/2"" Shank, 1-3/8"" Dia.",$30.95,,See Chart,$19.47,See Chart,,,TRUE,Grizzly,,,Parcel,
,C1302,"Classical Bit w/ Bearing Guide, 1/2"" Shank",$23.95,,See Chart,$17.58,See Chart,,,TRUE,Grizzly,,,Parcel,
