SKU,Title,Costway Product Type,Mapped Product Type
67320485,3.2 cu ft. Compact Stainless Steel Refrigerator-Gray,Appliances > Kitchen Appliances > Refrigerators & Freezers > Refrigerators,Refrigerators
04673512,Oval Bathroom Basin Ceramic Vessel Sink,Bath > Bathroom Sinks,Bathroom Sinks
14907563,Corner Wooden Piece Laptop Computer Desk-Black,Furniture > Home Office > Office Desks > Corner Desks,Corner Desks
14907563,Corner Wooden Piece Laptop Computer Desk-White,Furniture > Home Office > Office Desks > Corner Desks,Corner Desks
58413062,Kitchen Storage Cabinet with Glass Sliding Door-Black,Furniture > Kitchen & Dining > Sideboards  Cabinets & Buffets,Sideboards Cabinets & Buffets
65327018,2-Door Wall Mount Bathroom Storage Cabinet with Open Shelf-White,Bath > Wall Cabinets,Wall Cabinets
19607458,Portable Laundry Clothes Storage Drying Rack,Bath > Drying Racks,Drying Racks
34297508,Kids Strawberry Armrest Chair Sofa with 2 Cute Strawberry Pillows-Pink,Baby & Kids > Toddler & Kids Furniture > Kids Chairs & Seating,Kids Chairs & Seating
32045697,Black/White Kids Double Sofa with Ottoman-Black,Baby & Kids > Toddler & Kids Furniture > Kids Chairs & Seating,Kids Chairs & Seating
51680273,6 Feet Folding Portable Rattan Table with Carrying Handle,Outdoor > Outdoor & Patio Furniture > Patio Tables > Picnic Tables,Picnic Tables
16247538,Set of 4 Folding Rattan Bar Chairs with Footrests and Armrests for Outdoors and Indoors,Outdoor > Outdoor & Patio Furniture > Patio Bar Furniture,Patio Bar Furnitures
70241698,3 Seat Outdoor Patio Canopy Swing with Cushioned Steel Frame-Black,Outdoor > Outdoor & Patio Furniture > Porch Swings,Porch Swings
70241698,3 Seat Outdoor Patio Canopy Swing with Cushioned Steel Frame-Brown,Outdoor > Outdoor & Patio Furniture > Porch Swings,Porch Swings
70241698,3 Seat Outdoor Patio Canopy Swing with Cushioned Steel Frame-Green,Outdoor > Outdoor & Patio Furniture > Porch Swings,Porch Swings
