Item Number,Description,MSRP,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Profit,Margin
T33304X,"20V 1/4"" Plunge Router with Li-Ion Battery (Charger Not Included)",$182.90,$129.56,21.99,,Unavailable,FALSE,Grizzly PRO,CN,690550229985,Parcel,$31.35,17.14%
D3807,"2"" Gouge",$59.95,$32.71,16.99,,Available,FALSE,Shop Fox,CN,769433438070,Parcel,$10.25,17.10%
G9933WAR03,3 HP Three-Spindle Shaper - 3 Year Warranty,"$8,140.00","$6,228.00",525,"$6,920.00",Unavailable,FALSE,Grizzly,,,LTL Freight,"$1,387.00",17.04%
T32459Z,"2"" x 42"" Knife-Making Belt Sander/Grinder",$435.00,$361.37,0,$391.00,Available,FALSE,Grizzly,CN,690550894862,Parcel,$73.63,16.93%
T33587WAR03,Mini Portable Dust Collector - 3 Year Warranty,$205.00,$171.00,0,$190.00,Unavailable,FALSE,Grizzly,,,Parcel,$34.00,16.59%
W1840,"8"" Variable-Speed Grinder with Work Light",$225.00,$188.03,0,$225.00,Available,FALSE,Shop Fox,CN,754001013605,Parcel,$36.97,16.43%
G0982,"6"" x 27"" Variable-Speed Mill/Drill with Stand","$2,995.00","$2,245.50",259,"$2,495.00",Available,FALSE,Grizzly,CN,690550963995,LTL Freight,$490.50,16.38%
SB1120WAR05,5 HP 3-Phase Variable-Speed Spindle Shaper - 5 Year Warranty,"$5,445.00","$4,216.50",349,"$4,685.00",Unavailable,FALSE,South Bend,,,LTL Freight,$879.50,16.15%
G0882,200A MIG Welder,$650.00,$545.44,0,$565.00,Available,FALSE,Grizzly,CN,690550970665,Parcel,$104.56,16.09%
SB1120,5 HP 3-Phase Variable-Speed Spindle Shaper,"$4,650.00","$3,555.00",349,"$3,950.00",Available,FALSE,South Bend,TW,690550632129,LTL Freight,$746.00,16.04%
SB1120WAR03,5 HP 3-Phase Variable-Speed Spindle Shaper - 3 Year Warranty,"$5,115.00","$3,946.50",349,"$4,385.00",Unavailable,FALSE,South Bend,,,LTL Freight,$819.50,16.02%
T33587WAR05,Mini Portable Dust Collector - 5 Year Warranty,$225.00,$189.00,0,$210.00,Unavailable,FALSE,Grizzly,,,Parcel,$36.00,16.00%
G0767WAR05,"4"" x 79"" Abrasive Tube Notcher - 5 Year Warranty","$4,735.00","$3,730.50",259,"$4,145.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$745.50,15.74%
T34441,"4-1/2"" Portable Metal-Cutting Bandsaw with Stand",$339.00,$286.00,0,$286.00,Available,FALSE,Grizzly,CN,690550955433,Parcel,$53.00,15.63%
G0767WAR03,"4"" x 79"" Abrasive Tube Notcher - 3 Year Warranty","$4,435.00","$3,492.00",259,"$3,880.00",Unavailable,FALSE,Grizzly,,,LTL Freight,$684.00,15.42%
D2916,"12"" Heavy-Duty F-Clamp",$26.95,$13.81,8.99,,Available,FALSE,Shop Fox,CN,769433429160,Parcel,$4.15,15.40%
W1826,1 HP Wall Dust Collector,$295.00,$249.91,0,$295.00,Available,FALSE,Shop Fox,TW,754001008267,Parcel,$45.09,15.28%
T33996,55 Lb. Drop-Forged Anvil,$395.00,$335.00,0,,Available,FALSE,Grizzly,CN,690550151729,Parcel,$60.00,15.19%
G0940WAR05,"13"" 2 HP Benchtop Planer w/ Helical Cutterhead - 5 Year Warranty","$1,190.00",$949.50,59.95,"$1,055.00",Unavailable,FALSE,Grizzly,,,Parcel,$180.55,15.17%
G0998,"10"" x 30"" Variable-Speed Metal Lathe","$4,150.00","$3,262.50",259,"$3,625.00",Available,FALSE,Grizzly,CN,690550336393,LTL Freight,$628.50,15.14%
G0881,180A Stick Welder,$295.00,$230.40,19.95,$256.00,Available,FALSE,Grizzly,CN,690550877919,Parcel,$44.65,15.14%
