Product Description,Model Number,SKU,Dropship Pricing,Current Website Price
"72"" Heavy Duty 3Point Offset Ditch Bank Verge Flail Mower Italy CMR Gearbox, 70-110HP, PTO Driven",AGF72,150202,"$3,588.03","$4,599.00"
"78"" Heavy Duty 3 Point Offset Ditch Bank Verge Flail Mower Italy CMR Gearbox, 80-110HP, PTO Driven",VBM78,150203,"$4,073.03","$5,399.00"
Heavy Duty Ditch Bank Flail Mowers,VBM86,150204,"$4,461.03","$5,699.00"
"MechMaxx 48"" Working Width Finishing Mower for Tractor, 18-50hp, 3 Point , FM120",FM120,150146,"$1,260.03","$1,499.00"
"MechMaxx 60” Working Width Finishing Mower for Tractor, 18-50hp,3 Point",FM150,150147,"$1,357.03","$1,599.00"
"MechMaxx 72” Working Width Finishing Mower for Tractor, 18-50hp,3 Point",FM180,150148,"$1,454.03","$1,799.00"
"MechMaxx 48"" Tow-Behind ATV Offset Flail Mower, 15HP 459cc E-start Gas Engine Powered; Adjustable Mowing Height",ATV120,150149,"$2,133.03","$2,899.00"
"31.5"" Remote control operation, Maximum Reach 11'2"", 3-Point Boom Mower, Minimum 20hp",ERM80,150209,"$5,140.03","$6,999.00"
"MechMaxx 48"" Tow-Behind ATV Offset Flail Mower, B&S 13.5HP 420cc E-start Gas Engine Powered; Adjustable Mowing Height,",ATV120,150133,"$2,521.03","$3,199.00"
"MechMaxx 55"" Tow-Behind ATV Offset Flail Mower, 23HP 679cc E-start Gas Engine Powered; Adjustable Mowing Height, ATV140",ATV140,150291,"$2,909.03","$3,699.00"
3 Point PTO Wood Chipper Attachment For Tractors Up To 45HP (PTO Shaft Included),BX42S,150178,"$1,357.03","$1,699.00"
6“ 3 Point Hydraulic Feeding PTO Wood Chipper for 20-50HP Tractor,WC68H,150180,"$2,036.03","$2,699.00"
"3-Point PTO Stump Grinder with 34 Carbide Teeth (PTO Shaft Included with Slip Clutch), for 15-45HP Tractor",SG24,150151/150151G,"$1,163.03","$1,499.00"
SG24 PRO,SG24PRO,150182,"$1,357.03","$1,699.00"
"3-Point PTO Stump Grinder with 44 Carbide Teeth (PTO Shaft Included with Slip Clutch), for 35-80HP Tractor, SG28",SG28,150183,"$1,745.03","$2,199.00"
"3-Point PTO Stump Grinder, 30 in Flywheel, 40-100HP, with 44 Carbide Teeth (PTO Shaft Included with Slip Clutch)",SG30,150181/150181G,"$2,036.03","$2,899.00"
"24'' Cutting Wheel Hydraulic Cylinders Stump Grinder, (PTO Shaft Included with Slip Clutch) , 35-60hp",TSG61,150152,"$2,230.03","$2,999.00"
"50"" 3 Point Drum Filled Plug Aerator Fits Cat 1 And 2 Tractors",DLA50,150270,"$1,842.03","$2,399.00"
"62"" 3 Point Drum Filled Plug Aerator Fits Cat 1 And 2 Tractors",DLA60,150271,"$2,036.03","$2,699.00"
"8800lbs 3-Point Hitch Forestry Log Skidding Winch, 200ft Cable Length, 25-60 HP Tractor, Category 1 Hookup",FW8800,150210,"$1,842.03","$2,499.00"
MechMaxx 2-Ton Capacity Heavy-Duty Dump Trailer,DT4X8,150255,"$2,424.03","$3,299.00"
MechMaxx 2-Ton Capacity Heavy-Duty Dump Trailer,DT4X8W,150256,"$2,812.03","$3,799.00"
"5 Cu-Ft 3-Point Hitch Cement Mixer, PTO Shaft Included, Category 1 & 2 Hookup",CM5,150250,"$1,260.03","$1,699.00"
"3-Point PTO Mini Round Hay Baler With Twine Wrap, 20"" Diameter x 28"" Width Bales, For 15-50hp Tractor,",HB3120,150215,"$3,588.03","$4,999.00"
"7HP 212cc Gasoline Engine Powered Bale Wrapper, 20 inch Wrapping Diameter",HW20,150216,"$1,648.03","$2,199.00"
"100” Mechmaxx 3-Point Hitch 6 Rotary Pull-Type Hay Rake Tedder , 15-50Hp",HT100,150217,"$1,745.03","$2,399.00"
"6FT 3-Point Disc Mower, 4 Disc, 35-80HP Tractor, Cat.2",DM6,150231,"$4,073.03","$5,299.00"
"8FT 3-Point Disc Mower, 6 Disc, 50-100HP Tractor, Cat.2",DM8,150232,"$4,558.03","$5,999.00"
"18"" Portable Sawmill, 212cc 7HP Gasoline Engine, 15"" Board Width, 10' Track Length",SM18,150165,"$1,454.03","$1,699.00"
"22"" Portable Sawmill, 224cc 7HP DUCAR Gasoline Engine, 18"" Board Width, 13' Track Length",SM22,150320,"$1,502.53","$1,799.00"
"22"" Portable Sawmill, 274cc 8.1HP Gasoline Engine, 18"" Board Width, 13' Track Length",SM22,150169,"$1,551.03","$1,999.00"
"22"" Portable Sawmill, KOHLER 9.5hp 277cc Gasoline Engine, 18"" Board Width, 13' Track Length",SM22,150169K4,"$1,842.03","$2,299.00"
"26"" Portable Sawmill, 459cc 15HP E-Start Gasoline Engine, 20"" Board Width, 13' Track Length",SM26,150166,"$1,842.03","$2,299.00"
"26"" Portable Sawmill (5x Blades Included), 459cc 15HP E-Start Gasoline Engine, 20"" Board Width, 20' Track Length (13' Track Length + 6.4' Track Extension Included)",SM26,150166D6,"$2,036.03","$2,599.00"
"26"" Portable Sawmill (5x Blades Included), KOHLER CH440 429cc E-Start Gasoline Engine, 20"" Board Width, 20' Track Length (13' Track Length + 6.4' Track Extension Included)",SM26,150166K6,"$2,327.03","$2,799.00"
"32"" Portable Sawmill, 459cc 15HP E-Start Gasoline Engine, 26.5"" Board Width, 13' Track Length",SM32,150167,"$2,036.03","$2,599.00"
"32"" Portable Sawmill (5 x Blades Included), 459cc 15HP E-Start Gasoline Engine, 26.5"" Board Width, 20' Track Length (13' Track Length + 6.4' Track Extension Included)",SM32,150167D6,"$2,327.03","$2,899.00"
"32"" Portable Sawmill, KOHLER CH440 429cc E-Start Gasoline Engine, 26.5"" Board Width, 13' Track Length",SM32,150167K4,"$2,327.03","$2,899.00"
"32"" Portable Sawmill (5 x Blades Included), KOHLER CH440 429cc E-Start Gasoline Engine, 26.5"" Board Width, 20' Track Length (13' Track Length + 6.4' Track Extension Included)",SM32,150167K6,"$2,812.03","$3,399.00"
"32"" Portable Sawmill (5 x Blades Included), HONDA GX390 389cc E-Start Gasoline Engine, 26.5"" Board Width, 20' Track Length (13' Track Length + 6.4' Track Extension Included)",SM32,150167H6,"$2,909.03","$3,799.00"
"36"" MAX Portable Sawmill, 25HP 750cc ZONSEN V-Twin Engine, 35"" Board Width, 20' Track Length, (10 x Blades Included)",SM36,150168MAX,"$3,103.03","$3,899.00"
"36"" MAX Portable Sawmill, 25HP 688cc HONDA GX690 V-Twin Engine, 35"" Board Width, 20' Track Length",SM36,150168HMAX,"$4,267.03","$5,199.00"
"SM-36MAX; SM-36HMAX Trailer Primary Sub-Frame, 20' Track Length + SM-36MAX; SM-36HMAX Trailer Combo Kit (Trailer Hitch; Torsion Axle; Tire)",,410715+410716,"$1,550.06","$1,598.00"
"SM-32 Trailer Primary Sub-Frame, 13' Track Length + SM-26; SM-32 Trailer Combo Kit (Trailer Hitch; Torsion Axle; Tire)",,1501674+150166A,"$1,220.26","$1,348.00"
"SM-32 Trailer Primary Sub-Frame, 20' Track Length + SM-26; SM-32 Trailer Combo Kit (Trailer Hitch; Torsion Axle; Tire)",,1501676+150166A,"$1,356.06","$1,598.00"
"SM-26 Trailer Primary Sub-Frame, 13' Track Length + SM-26; SM-32 Trailer Combo Kit (Trailer Hitch; Torsion Axle; Tire)",,1501664+150166A,"$1,113.56","$1,248.00"
"SM-26 Trailer Primary Sub-Frame, 20' Track Length + SM-26; SM-32 Trailer Combo Kit (Trailer Hitch; Torsion Axle; Tire)",,150166T6+150166A,"$1,356.06","$1,498.00"
SM-22 Trailer Combo Kit for 13' Track Length Sawmill,,410719,$930.23,$999.00
"10"" Blade 12'' Max Cutting Width Gasoline Engine Powered Single Blade Edger",SBE50,150230,"$1,260.03","$1,499.00"
"Firewood Conveyor, 7HP 212cc Gasoline Powered Max. 124"" Lift Height, 236'' Length, 16"" Width",HC2016,150301,"$3,103.03","$3,899.00"
"Heavy Duty Conveyor, 9HP 270cc Gasoline Powered Max. 180"" Lift Height, 276'' Length, 24"" Width",HC2320,150302,"$4,170.03","$5,699.00"
"34 Ton Kinetic Fast Log Splitter, 7 HP Ducar Gasoline Engine, 28"" Log Diameter Capacity, 3-Sec Cycle Time",KT34,150243,"$1,628.63","$2,299.00"
"Honda GX390 Engine Firewood Log Splitter Processor with Conveyor, 20ton Splitting Force 24"" x 15"" Log Capacity, 18"" STIHL Chainsaw",HLS20,150244,"$5,140.03","$6,999.00"
"Firewood Log Splitter Processor with Conveyor, 20ton Splitting Force 24"" x 15"" Log Capacity, 18"" STIHL Chainsaw",HLS20,150245,"$4,461.03","$5,999.00"
"Mini Compact Excavator HONDA GX390 Engine, 65.7” Max. Digging Depth, 2280 LBS Operating Weight",MEC10,150530,"$6,983.03","$8,699.00"
"Mini Compact Excavator B&S VANGUARD 408cc 14hp Engine, 65.7” Max. Digging Depth, 2370 LBS Operating Weight",MEC10,150531,"$7,468.03","$9,699.00"
"Mini Compact Excavator Kubota D722 Engine, 65.7” Max. Digging Depth, 2700 LBS Operating Weight,",MEC12,150532,"$12,609.03","$16,999.00"
"Mini Compact Excavator Kubota D902 Engine, 89” Max. Digging Depth, 4145 LBS Operating Weight",MEC17,150533,"$20,369.03","$27,299.00"
"Mini Compact Excavator Kubota D902 Engine, 95” Max. Digging Depth, 4190 LBS Operating Weight",MEC17PRO,150534,"$22,309.03","$29,999.00"
"Mini Compact Excavator Loncin 300cc 9hp Engine, 43.3"" Max. Digging Depth, 1345 LBS Operating Weight, MEC06",MEC06,150536,"$3,588.03","$4,999.00"
5-Piece Mini Excavator Attachment Set for Mini Compact Excavator (SKU: 150536),MEC06 Attachment Set,150554,$542.23,$599.00
4-Piece Mini Excavator Attachment Set for Mini Compact Excavator ( SKU: 150530; 150531; 150532 ),,150541,$639.23,$699.00
"32x8"" Auger Attachment for Mini Compact Excavator ( SKU: 150530; 150531; 150532 )",,150542,$542.23,$599.00
Hydraulic Hammer Breaker for Mini Compact Excavator ( SKU: 150530; 150531; 150532 ),,150543,$930.23,$999.00
"32"" Tilt Bucket for Mini Compact Excavator MEC10/MEC12 ( SKU: 150530; 150531; 150532 )",,150544,$445.23,$499.00
"Attachment Set for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",,150545,$687.73,$799.00
"31.5'' Width Digging Bucket for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",,150546,$406.43,$469.00
"39'' Width Digging Bucket for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",,150547,$542.23,$599.00
"47'' Width Digging Bucket for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",,150548,$600.43,$659.00
"Hydraulic Breaker Hammer for Mini Compact Excavator MEC17, MEC17PRO, 360 J Impact Energy, 700-1200 Bpm (SKU: 150533; 150534）",,150549,$930.23,"$1,069.00"
"Three-Rod Auger for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",,150550,$969.03,"$1,099.00"
"Tilting Bucket for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",,150551,$522.83,$599.00
"Compactor for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",,150553,$969.03,"$1,099.00"
"1.5 HP Swing Arm Tire Changer Wheel Changer 24"" Rim Capacity",TC964,200001,"$1,163.03","$1,399.00"
"24"" Rim Swing Arm Tire Changer Wheel Changer with Bead Blaster",TC966,200002,"$1,357.03","$1,599.00"
"24"" Rim Assist Arm Tire Changer Swing Arm Wheel Changer with Bead Blaster",TC9661,200027,"$1,551.03","$1,899.00"
"24"" Rim Double Assist Arms Tire Changer Swing Arm Wheel Changer with Bead Blaster",TC9662,200005,"$1,648.03","$1,999.00"
High Performance Tilt Back Tire Changer Wheel Changer with Bead Blaster,TC968,200006,"$1,706.23","$2,199.00"
"10-24"" Rim Wheel Balancer Car Tire Balancing Machine 40 mm Shaft",WB855,200009,$969.03,"$1,099.00"
"10-24"" Rim Wheel Balancer Car Tire Balancing Machine 40 mm Shaft with Foot Pedal Brake, Laser Guided and LED Illuminator",WB857,200010,"$1,163.03","$1,599.00"
"72"" Heavy Duty Land Leveler Land Plane Scraper Grader with Shanks 3 Point Hitch",LP72,201004,"$1,551.03","$1,999.00"
"84"" Heavy Duty Land Leveler Land Plane Scraper Grader with Shanks 3 Point Hitch",LP84,201005,"$1,648.03","$2,199.00"
"96"" Heavy Duty Land Leveler Land Plane Scraper Grader with Shanks 3 Point Hitch",LP96,201044,"$1,939.03","$2,599.00"
"60"" Tractor Notched Disc Harrow Disc Plow 3 Point Hitch",DH60,201006,"$1,551.03","$1,699.00"
Heavy Duty 3 Shank Subsoiler Plow Ground Ripper 3 Point Hitch Cat1&2,DH72,201007,"$1,648.03","$1,999.00"
"60"" Box Blade Scraper with 5 Shanks 3 Point Hitch Tractor Attachment",BB60,201019,"$1,066.03","$1,249.00"
"72"" Box Blade Scraper with 6 Shanks 3 Point Hitch Tractor Attachment",BB72,201020,"$1,085.43","$1,399.00"
"84"" Box Blade Scraper with 7 Shanks 3 Point Hitch Tractor Attachment",BB84,201021,"$1,260.03","$1,549.00"
"72"" Landscape Rake with 36 Tines 3 Point Hitch Tractor Attachment",LR72,201023,$775.03,$849.00
"84"" Landscape Rake with 42 Tines 3 Point Hitch Tractor Attachment",LR84,201024,$813.83,$949.00
"72"" Landscape Rake with Bolt-On Wheels & 36 Tines 3 Point Hitch Tractor Attachment",LR72W,201026,$872.03,$999.00
"84"" Landscape Rake with Bolt-On Wheels & 42 Tines 3 Point Hitch Tractor Attachment",LR84W,201027,$969.03,"$1,099.00"
3 Point One Row Potato Harvester Potato Digger Picker PTO Driven,PH19,201001,"$1,648.03","$2,199.00"
"3300lbs Lithium-ion Electric Pallet Jack, 45""x27"" Fork, 24V 40Ah Removable Battery, Walkie Type Truck",LPT33,202001,"$1,551.03","$1,999.00"
"4400lbs Lithium-ion Electric Pallet Jack, 45""x27"" Fork, 48V 30Ah Removable Battery, Walkie Type Truck",LPT44,202001,"$1,745.03","$1,999.00"
"3300lbs Lithium-ion Electric Pallet Jack, 45""x27"" Fork, 24V 40Ah Battery, Walkie Type Truck",EPT33,202003,"$1,648.03","$2,199.00"
"4400lbs Lithium-ion Electric Pallet Jack, 45""x27"" Fork, 48V 50Ah Battery, Walkie Type Truck",EPT44,202011,"$1,939.03","$2,599.00"
"3300lbs Semi-Electric Straddle Stacker, 118"" Lift, Adjustable Legs & Forks",S33-118S,202006,"$2,424.03","$3,299.00"
"3300lbs Semi-Electric Straddle Stacker, 138"" Lift, Adjustable Legs & Forks",S33-138S,202012,"$2,521.03","$3,499.00"
"2640lbs Lithium-ion Electric Straddle Stacker, 98"" Lift, Adjustable Legs & Forks",F26-98S,202013,"$3,491.03","$4,899.00"
"2640lbs Lithium-ion Electric Straddle Stacker, 118"" Lift, Adjustable Legs & Forks",F26-118S,202007,"$3,782.03","$5,199.00"
"2640lbs Lithium-ion Electric Straddle Stacker, 138"" Lift, Adjustable Legs & Forks",F26-138S,202008,"$3,879.03","$5,399.00"
"3300lbs Lithium-ion Electric Straddle Stacker, 98"" Lift, Adjustable Legs & Forks,",F33-98S,202009,"$3,782.03","$5,199.00"
"3300lbs Lithium-ion Electric Straddle Stacker, 118"" Lift, Adjustable Legs & Forks",F33-118S,202010,"$3,879.03","$5,399.00"
"3300lbs Lithium-ion Electric Straddle Stacker, 138"" Lift, Adjustable Legs & Forks",F33-138S,202014,"$3,976.03","$5,599.00"
1100lbs Capacity E-Start 10HP 302cc Gas Engine Tracked Dumper Hydraulic Tipping and Lifting with Front Shovel,D50HTFL,100900,"$3,103.03","$3,999.00"
"27"" Walk Behind Flail Mower, 10HP 302cc, Self-Propelled, Wheeled, Electric Start",SFM27W,201028,"$2,327.03","$2,999.00"
"27"" Walk Behind Flail Mower, 10HP 302cc, Self-Propelled, Tracked, Electric Start",SFM27T,201029,"$2,618.03","$3,399.00"
"7' Tractor Backhoe Attachment with Mechanical Thumb, 12"" Bucket, ISO/SAE Switchable Controls, Self-Contained Hydraulic System, 3 Point Hitch Cat.1, 15–50 HP",BH660,150162,"$3,588.03","$4,499.00"
"8' Tractor Backhoe Attachment with Hydraulic Thumb, 15"" Bucket, ISO/SAE Switchable Controls, Self-Contained Hydraulic System, 3 Point Hitch Cat.1 & 2, 20–100 HP",BH760,150163,"$3,879.03","$5,099.00"
"9' Tractor Backhoe Attachment with Hydraulic Thumb, 15"" Bucket, ISO/SAE Switchable Controls, Self-Contained Hydraulic System, 3 Point Hitch Cat.1 & 2, 25–100 HP",BH860,150164,"$4,267.03","$5,499.00"
"7' Tractor Backhoe Attachment with Mechanical Thumb, 12"" Bucket, ISO/SAE Switchable Controls, Self-Contained Hydraulic System, 3 Point Hitch Cat.1, 15-50 HP, BH660M",BH660M,201162,"$3,782.03","$4,799.00"
"8' Tractor Backhoe Attachment with Mechanical Thumb, 15"" Bucket, ISO/SAE Switchable Controls, Self-Contained Hydraulic System, 3 Point Hitch Cat.1 & 2, 20-100 HP, BH760M",BH760M,201163,"$3,782.03","$4,799.00"
"9' Tractor Backhoe Attachment with Mechanical Thumb, 15"" Bucket, ISO/SAE Switchable Controls, Self-Contained Hydraulic System, 3 Point Hitch Cat.1 & 2, 25-100 HP, BH860M",BH860M,201164,"$3,976.03","$5,099.00"
"48"" 3 Point PTO Snow Blower 24"" Impeller Diameter 360° Snow Chute (PTO Shaft Included with Slip Clutch), 20-45 HP",TSB48,201042,"$2,036.03","$2,399.00"
"60"" 3 Point PTO Snow Blower 24"" Impeller Diameter 360° Snow Chute (PTO Shaft Included with Slip Clutch), 25-65 HP",TSB60,201015,"$2,133.03","$2,399.00"
"72"" 3 Point PTO Snow Blower 24"" Impeller Diameter 360° Snow Chute (PTO Shaft Included with Slip Clutch), 30-75 HP",TSB72,201016,"$2,230.03","$2,599.00"
"84"" 3 Point PTO Snow Blower 24"" Impeller Diameter 360° Snow Chute (PTO Shaft Included with Slip Clutch), 35-95 HP,",TSB84,201043,"$2,521.03","$2,899.00"
"48"" 3 Point PTO Snow Blower 24"" Impeller Diameter 360° Snow Chute (PTO Shaft Included with Slip Clutch), 20-45 HP",TSB48T,201042T,"$2,036.03","$2,399.00"
"60"" 3 Point PTO Snow Blower 24"" Impeller Diameter 360° Snow Chute (PTO Shaft Included with Slip Clutch), 25-65 HP",TSB60T,201015T,"$2,133.03","$2,399.00"
"72"" 3 Point PTO Snow Blower 24"" Impeller Diameter 360° Snow Chute (PTO Shaft Included with Slip Clutch), 30-75 HP",TSB72T,201016T,"$2,230.03","$2,599.00"
"84"" 3 Point PTO Snow Blower 24"" Impeller Diameter 360° Snow Chute (PTO Shaft Included with Slip Clutch), 35-95 HP,",TSB84T,201043T,"$2,521.03","$2,899.00"
"80"" Crimper Roller 3 Point Hitch Tractor Attachment Agriculture Equipment, CR82",CR82,201035,"$2,715.03","$3,499.00"
"96"" Box Blade Scraper with 8 Shanks 3 Point Hitch Tractor Attachment, BB96",BB96,201045,"$1,551.03","$1,999.00"
"42"" Light Duty Rotary Tiller",LRT42,201103,"$1,357.03","$1,599.00"
"45"" Light Duty Rotary Tiller",LRT45,201104,"$1,434.63","$1,679.00"
"48"" Light Duty Rotary Tiller",LRT48,201105,"$1,502.53","$1,749.00"
"53"" Light Duty Rotary Tiller",LRT53,201106,"$1,570.43","$1,819.00"
"48"" Medium Duty Rotary Tiller",MRT48,201110,"$2,036.03","$2,399.00"
"60"" Medium Duty Rotary Tiller",MRT60,201112,"$2,133.03","$2,599.00"
"72"" Medium Duty Rotary Tiller",MRT72,201113,"$2,230.03","$2,799.00"
